Empresas do ramo alimentício de São José do Rio Preto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nome ;Segmento ;Contato;Instagram/Facebook;Número de Seguidores;Ifood;Link Ifood;Outra Plataforma de Delivery;Link da Plataforma ;Avaliação Google;Avaliação Ifood;CNPJ;Endereço;Bairro;Região Adm;CEP;Porte;CNAE;;;;;;;;;;;;;;
 BELLA CAPRI PIZZARIA;Pizzarias/Massas;800-765-9999;bellacapririopreto;13900,00;*;*;Plataforma Própria;https://www.bellacapri.com.br/;4,60;;28.064.617/0001-90;AV. MIGUEL DAMHA, 1825 - RES. GAIVOTA I;PARQUE RESIDENCIAL DAMHA IV;Represa;15061-768;MICRO EMPRESA;04/01/5620;;;;;;;;;;;;;;
PIZZARIA SAN REMO;Pizzarias/Massas;(17) 3232-1869 ;sanremoriopreto;5400,00;*;*;Plataforma Própria;https://xmenu.com.br/pedidos/index.html?loja=15575;4,50;;59.986.232/0001-03 ;R. VOLUNTÁRIOS DE SÃO PAULO, 3438;CENTRO;Central;15015-200;EMPRESA DE PEQUENO PORTE;01/02/5611;;;;;;;;;;;;;;
PIZARIA TANTARELLA;Pizzarias/Massas;(17) 3224-3270;*;;*;*;*;*;4,60;;53.196.971/0001-36;AV. NOSSA SRA. DA PAZ, 2320;JARDIM ALTO ALEGRE;Central;15054-400;MICRO EMPRESA;02/02/5611;;;;;;;;;;;;;;
FILADELFIA PIZZARIA;Pizzarias/Massas;(17) 99628-9840 ;*;;*;*;*;*;;;47.189.356/0001-89  ;R. ONOFRE GOMES DE PINHO ;JARDIM BELA VISTA;Central;15051-210;INDIVIDUAL;0000-0/00;;;;;;;;;;;;;;
PIZZARIA DONATELLO;Pizzarias/Massas;(17) 3364-8864 ;pizzariadonatello.rp;798,00;*;*;Plataforma Própria;https://play.google.com/store/apps/details?id=br.com.sagresinformatica.donatello&pli=1;4,70;4,90;46.331.409/0001-91 ;AV. FORTUNATO ERNESTO VETORASSO, 1800;JARDIM RESIDENCIAL VETORASSO;Cidade da Criança;15040-300;INDIVIDUAL;01/02/5611;;;;;;;;;;;;;;
FAMIGLIA ARNONI ;Pizzarias/Massas;(17) 3201-3434;arnonipizzaria_oficial;13700,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/pizzaria-famiglia-arnoni-jardim-aclimacao;Neemo;https://loja.neemo.com.br/famigliaarnoni;4,70;5,00;36.380.190/0001-67 ;AV. ANÍSIO HADDAD, 7182;JARDIM YOLANDA;Represa;15061-580;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
VILLA CALUI;Pizzarias/Massas;(17) 3232-0220;villacalui;34000,00;*;*;Plataforma Própria;*;4,50;;36.361.927/0001-02 ;R. IMPERIAL, 1108- VILA IMPERIAL;VILA NOSSA SENHORA DE FATIMA;Central;15015-520;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
MAREMONTI;Pizzarias/Massas;(17) 3234-9575;maremonti_;62400,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/maremonti-sao-jose-do-rio-preto-iguatemi;"Rappii; Plataforma Propria";rappi.com.br //  maremonti.com.br;4,40;4,40;19.789.139/0001-94;AV. PRES. JUSCELINO K, 5000;IGUATEMI;HB;15093-340;EMPRESA DE PEQUENO PORTE;01/02/5611;;;;;;;;;;;;;;
NONA BENI ;Pizzarias/Massas;(17) 3519-4100;pizzarianonnabeni;7300,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/nonna-beni-boa-vista;*;*;4,50;4,70;04.106.891/0001-16;R. BOA VISTA, 1220- BOA VISTA;BOA VISTA;Central;15025-010;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
CULTURA DEL GRANO;Pizzarias/Massas;(17)  3353-5663 ;culturadelgranobr;14300,00;*;*;Plataforma Própria;https://play.google.com/store/apps/details?id=com.wabiz.delivery.casagrande;4,40;;20.799.613./0001-48;R. ANTÔNIO DE GODOY, 4163;VILA REDENTORA;HB;15015-780;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
HARUSHI ORIENTAL FOOD;Comida Étnica (Japão);(17) 3363-5660 ;harushiriopreto;23700,00;Ativo;ifood.com.br;Goomer;https://harushi-oriental-food.goomer.app/;4,60;;22.477.685/0001-82;R. VOLUNTÁRIOS DE SÃO PAULO, 3878;CENTRO;Central;15015-200;MICRO EMPRESA;02/02/5611;;;;;;;;;;;;;;
KAMI COMIDA JAPONESA  ;Comida Étnica (Japão);(17) 98814-5205 ;kamiriopreto;12700,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/kami-restaurante-japones-vila-imperial;Menu Dino;https://yoikami.menudino.com/?rwg_token=ADQ7psSkVLyI3E5gSfp6-xKJ3cWwKqrTz9WkNxfCHnMRsnJPRT8y0fHO2RqpfTCAcviEJ1yLB91EhlHPj536L9ImmnVYj5N8bZWQ1xpKc3DyDKglqDO_Qzg%3D;4,80;4,70;32.080.413/0001-10;R. IMPERIAL, 1108 - VILA IMPERIAL;VILA NOSSA SENHORA DE FATIMA;Central;15015-520;INDIVIDUAL;01/02/5611;;;;;;;;;;;;;;
 SAIKO SUSHI BAR ;Comida Étnica (Japão);(17) 99184-0587;saiko_sushiba;5400,00;Ativo;ifood.com.br;*;*;4,00;;45.367.580/0001-98;AV. FORTUNATO ERNESTO VETORASSO, 1792;CECAP;Cidade das Crianças;15041-000;INDIVIDUAL;01/02/5611;;;;;;;;;;;;;;
SUSHI AKI;Comida Étnica (Japão);(17) 98124-5272;sushiakiriopreto;7400,00;Ativo; ifood.com.br;*;*;4,40;;46.454.75./0001-01;R. RIO PRETO, 2532;VILA REDENTORA;HB;15015-760;MICRO EMPRESA;02/02/5611;;;;;;;;;;;;;;
YUUMEI SUSHI LOUNGUE;Comida Étnica (Japão);(17) 98142-4370 ;yuumeisushilounge;23800,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/yuumei-sushi-lounge-centro;*;*;4,70;4,50;32.611251/0001-25;R. ANTÔNIO DE GODOY, 3945;VILA REDENTORA;HB;15015-100;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
SI SENOR;Comida Étnica (México);(17) 3234-9572;sisenorbrasil;200000,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/si-senor-sao-jose-do-rio-preto-iguatemi;Delivery Direto;https://deliverydireto.com.br/sisenor/saojosedoriopreto?utm_source=google-place-action-link;4,40;4,80;10.291.637/0001-00;AV. PRES. JUSCELINO K. DE OLIVEIRA, 5000;IGUATEMI;HB;15093-340;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
HADI;Comida Étnica (Arábia);(17) 17 3201-2961;hadirestaurante;1600,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/hadi-esfiharia-e-restaurante-jardim-planalto;*;*;3,60;4,80;14.584.960/0001-50;AV. ALFREDO ANTONIO DE OLIVEIRA, 2077;JARDIM MARAJÓ;Represa;15046-355;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
MANA POKE;Comida Étnica (Havaí);(17) 3305-6661;mana.poke;68200,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/mana-poke---sao-jose-do-rio-preto-vila-redentora;Delivery Direto;https://deliverydireto.com.br/manapoke/riopreto?utm_source=google-place-action-link;4,70;4,90;40.975.249/0001-37 ;R. PENITA, 3355- VILA REDENTORA;VILA REDENTORA;HB;15015-820;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
MALUHIA POKE BOWLS ;Comida Étnica (Havaí);(17) 99244-5043;maluhiapoke;8000,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/maluhia-poke-bowls-vila-redentora;*;*;4,80;4,90;29.495.833/0001-52 ;R. GENEROSA BASTOS, 3103;VILA REDENTORA;HB;15015-790;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
FARM GREENS - SALAD FAST FOOD ;Saudáveis/Veganas/Veget;(17) 99739-0099;farmgreens.br;2900,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/farm-greens-centro;*;*;4,60;5,00;39.920.816/0001-79;R. CEL. SPÍNOLA DE CASTRO, 3998;CENTRO;Central;15015-500;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
VIVERDI BISTRÔ;Saudáveis/Veganas/Veget;(17) 98216-7947;viverdibistroorganico;17000,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/viverdi-bistro-organico-vila-redentora;*;*;4,80;4,70;25.463.150/0001-62;R. GENEROSA BASTOS,3333-VILA REDENTORA;VILA REDENTORA;HB;15015-790;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
VEGAN SOUL;Saudáveis/Veganas/Veget;*;*;;*;*;*;*;;;44.937.284/0001-12;R. FREI ROQUE BISCIONE, 2195- MIRASSOL ;SAO FRANCISCO DE ASSIS I;Central;15137-054;INDIVIDUAL;1096-1/00;;;;;;;;;;;;;;
VIDA SAUDÁVEL BISTRÔ;Saudáveis/Veganas/Veget;(17) 99628-0036;vidasaudavelbistros;23300,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/vida-saudavel-bistro-vila-redentora;*;*;4,90;5,00;31.732.539/0001-69;R. JACI, 3233 - VILA REDENTORA;CENTRO;Central;15015-100;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
PROZARIA;Comida Brasileira;(17) 3513-5947 ;prozaria;24700,00;*;*;*;*;4,70;;26.179.439/0001-17;R. QUATORZE DE JULHO, 377;VILA ERCÍLIA;Central;15013-060;MICRO EMPRESA;04/02/5611;;;;;;;;;;;;;;
SALSA ROOFTOP;Comida Brasileira;(17) 3363-7563 ;salsarooftop;22500,00;*;*;*;*;4,50;;29.448.315/0001-88;AV. PRES. JUSCELINO K. DE OLIVEIRA, 2000;JARDIM TARRAF II;HB;15092-415;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
MINEIRO DELIVERY;Comida Brasileira;(17) 3234-4431 ;mineirodelivery;49800,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/mineiro-delivery---sao-jose-do-rio-preto-vila-ercilia;*;*;4,30;4,90;16.634.794/0001-85;R. JOSÉ DE ALENÇAR, 27 - SALA 21;VILA ERCÍLIA;Central;15013-120;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
CANECÃO REPRESA;Comida Brasileira;(17) 3225-1010 ;canecaorestaurante;9100,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/canecao-represa-vila-goyos;*;*;4,60;4,90;55.812.291/0001-04;AV. LINO JOSÉ DE SEIXAS, 1287;VILA GOYOS;Central;15061-040;EMPRESA DE PEQUENO PORTE;03/02/5611;;;;;;;;;;;;;;
RESTAURANTE SÓ SUCO;Comida Brasileira;(17) 3223-3073;sosucorestaurante;3400,00;*;*;*;*;4,50;;28.552.309/0001-03;AV. NOSSA SRA. DA PAZ, 1180;CENTRO;Central;15015-200;EMPRESA DE PEQUENO PORTE;01/02/5611;;;;;;;;;;;;;;
CHICO BARRIGUDO;Comida Brasileira;(17) 3304-6405;chicobarrigudo;31200,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/chico-barrigudo-jardim-yolanda;*;*;4,50;4,60;24.889.428/0001-03;AV SILVIO DELA ROGÉRIO, 63;JARDIM YOLANDA;Represa;15061-580;MICRO EMPRESA;04/02/5611;;;;;;;;;;;;;;
RANCHO DO CUPIM;Comida Brasileira;(17) 3216-8480;rancho.sjrp;21000,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/rancho-do-cupim-vila-sao-joao;*;*;4,60;4,50;08.347.174/0001-37;AV PRES. JUSCELINO K, 1185;JARDIM PANORAMA;Central;15091-450;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
TAMAREIRA FÁBRICA BAR;Comida Brasileira;(17) 99253-6363;tamareirafabricabar;9900,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/tamareira-fabrica-bar-vila-santa-cruz;*;*;4,60;;33.414.342/0001-07 ;R. SIQUEIRA CAMPOS, 3619;VILA SANTA CRUZ;Central;15014-030;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
REPÚBLICA DO ESPETO;Comida Brasileira;(17) 98231-4108;repubespeto;846,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/republica-do-espeto-jardim-alto-rio-preto;Rappi;https://rappi.com.br/restaurantes/900022971?utm_source=google&utm_medium=organic&utm_campaign=place-action-link;4,60;4,90;38.016.105/0001-01;R. TEVE. VIDAL, 405;JARDIM ALTO RIO PRETO;Central;15020-220;INDIVIDUAL;04/01/5620;;;;;;;;;;;;;;
POUSO E DECOLAGEM;Comida Brasileira;(17) 3234-3240 ;pousoedecolagem;8300,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/pouso-e-decolagem-vila-nossa-senhora-da-paz;Goomer;https://pousoedecolagem.goomer.app/;4,50;4,80;07.175.559/0001-00;RUA SANTO AGOSTINHO, 16;NOSSA SENHORA;*;15025-220;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
FINO SABOR;Comida Brasileira;(17)3011-5060;*;;*;*;*;*;;;02.860.643/0001-30;R. PEDRO MARTINS, 90;MINI DISTRITO ADAIL VETORAZZO;Pinheirinho;15046-773;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
REI DO PEIXE;Comida Brasileira;(17)3600-8681;restaurantereidopeixe;2400,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/restaurante-rei-do-peixe-vila-aeroporto;*;*;4,50;4,80;04.433.474/0001-88;AVENIDA DOS ESTUDANTES,2397;VILA AEROPORTO;Central;15025-310;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
TRADIÇÃO RESTAURANTE;Comida Brasileira;(17)3211-2010;*;;*;*;*;*;4,80;;24.449.010/0001-77;AV DOS ESTUDANTES 2254;VILA AEROPORTO;Central;15025-310;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
KROKS PASTEIS;Lanchonetes/Hamburguerias;(17)3225-9912;*;;*;*;*;*;;;11.438.290/0001-76;RUA BENY ROQUETE, 193;JARDIM ALTO ALEGRE;Central;15054-190;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
DIVINO GOLE;Comida Brasileira;(17) 92000-3676;divinogoleriopreto;8500,00;*;*;*;*;4,10;;33.888.346/0001-27;R. PEDRO DEMONTE, 136;JARDIM ALTO ALEGRE;Central;15055-240;MICRO EMPRESA;05/02/5611;;;;;;;;;;;;;;
EXPRESSINHO RESTAURANTE E CHOPPERIA;Comida Brasileira;(17)3215-7737;experessinhorestaurante;2900,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/expressinho-restaurante-av-nsa-sra-paz-jardim-alto-alegre;*;*;4,40;4,60;26.550.599/0001-20;AVENIDA NOSSA SENHORA DA PAZ, 1300;JARDIM ALTO ALEGRE;Central;15054-400;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
DOCE ENCONTRO;Comida Brasileira;(17)99701-8911;Doce Encontro (Facebook);489,00;*;*;*;*;4,50;;19.067.787/0001-37;R. DR. COUTINHO CAVALCANTE, 952;JARDIM ALTO ALEGRE;Central;15054-300;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
MARMITARIA PAIOL VILLA SIMÕES;Comida Brasileira;(17)98801-3434;*;;*;*;*;*;4,40;;35.502.156/0001-55;AVENIDA NOSSA SENHORA DA PAZ, 390;JARDIM ALTO ALEGRE;Central;15055-500;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
RESTAURANTE MANAH;Outros;(17)4009-7878;*;;*;*;*;*;4,10;;21.821.102/0001-48;RUA DOUTOR COUTINHO CAVALCANTI, 857;JARDIM ALTO ALEGRE;Central;15054-300;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
CRAZY BY AÇAI;Lanchonetes/Hamburguerias;(17)99768-2491;*;;*;*;Smartpos;https://crazybyacai.smartpos.app/;4,80;;30.140.190/0001-03;AVENIDA ENGENHEIRO RUI SEIXAS, 1650;VILA AEROPORTO;Central;15025-355;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
ESTÂNCIA SABORES;Lanchonetes/Hamburguerias;(17) 98806-7811;Estância Sabores (Facebook);579,00;*;*;*;*;4,70;;25.149.256/0001-96;RUA DOUTOR COUTINHO CAVALCANTI, 836;JARDIM ALTO ALEGRE;Central;15054-300;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
ESKINA DO SALGADO;Lanchonetes/Hamburguerias;(17)99161-7603;eskinadosalgado;200,00;*;*;*;*;5,00;;24.266.331/0001-36;AV. NOSSA SRA. DA PAZ, 668;JARDIM ALTO ALEGRE;Central;15054-400;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
GREGO NO PÃO;Lanchonetes/Hamburguerias;(17)98173-1458;gregonopaorp;16900,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/grego-no-pao-jardim-alto-alegre?utm_medium=ReserveGoogle;Menu Dino;https://gregonopaorp.menudino.com/?rwg_token=ADQ7psSaEYVn4a4u9D4wGAeGM-OG1b28XH4EzxvbG3GwMCKRuhdfHOM6m2bOubI7BT9Cy6R31ANN5A1rTlGh2ChchB4mW0knWdJ04UTUUOglxBK8nE5Y6_A%3D;4,40;4,80;48.432.788/0001-31;AV. NOSSA SRA. DA PAZ, 2406;VILA MACENO;Central;15055-500;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
BERNARDINO'S LANCHES MACENO;Lanchonetes/Hamburguerias;(17)98230-6177;benardinoslanches;18700,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/bernardinos-lanches-centro;Menu Dino;https://bernardinoslanchesmaceno.menudino.com/?rwg_token=ADQ7psR_9C1iMnHGsEwfbLrQP_GnOp2HssA4l38I_-iBwV_qF-sQo8JXbuUThemDhGIhjxSdSHV1cdWd7Z-b50C5JlG05tzpXCJGE4SHfDOmBbhbgWW7TN0%3D;4,50;4,70;24.966.108/0001-00;AV. NOSSA SRA. DA PAZ, 2406;JARDIM PAULISTA;Central;15055-500;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
TAPIOCAS BAIANAS;Lanchonetes/Hamburguerias;(17)3215-1946;Tapioca Baiana (Facebook);1500,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/tapiocas-baiana-jardim-alto-alegre;*;*;4,90;4,90;17.290.218/0001-20;AV. NOSSA SRA. DA PAZ, 2132;JARDIM ALTO ALEGRE;Central;15055-500;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
JUBERNAL SALGADERIA;Lanchonetes/Hamburguerias;(17)9792-6182;jubernal_salgados;;*;*;*;*;;;44.492.284/0001-56;RUA DOUTOR COUTINHO CAVALCANTI, 765;JARDIM ALTO ALEGRE;Central;15054-300;INDIVIDUAL;03/02/5611;;;;;;;;;;;;;;
TIA JACK LANCHONETE;Lanchonetes/Hamburguerias;(17)3221-9340;Tia Jack Lanchonete(Facebook);458,00;*;*;*;*;4,80;;27.663.803/0001-82;R. DR. COUTINHO CAVALCANTE, 740;JARDIM VIEIRA;Central;15055-300;INDIVIDUAL;03/02/5611;;;;;;;;;;;;;;
ANDORINHA LANCHES;Lanchonetes/Hamburguerias;(17)99128-5020;andorinhalanches;362,00;*;*;Goomer;https://andorinha-lanches.goomer.app/;4,80;;12.953.677/0001-23;RUA JESUS MARIA TELES, 476;RESIDENCIAL ALTO DAS ANDORINHAS;Pinheirinho;15046-226;INDIVIDUAL;03/02/5611;;;;;;;;;;;;;;
CAMAROTE DO GÊ;Comida Brasileira;(17)99206-8773;camarotedoge;4700,00;*;*;*;*;4,70;;14.471.794/0001-86;R. REV. VIDAL, 650;JARDIM ALTO RIO PRETO;Central;15020-220;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
EXPRESSINHO;Comida Brasileira;(17)3215-7737;expressinhorestaurante;2900,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/expressinho-restaurante-av-nsa-sra-paz-jardim-alto-alegre?utm_medium=ReserveGoogle;*;*;4,40;;26.550.599/0001-20;AVENIDA NOSSA SENHORA DA PAZ,1300;JARDIM ALTO ALEGRE;Central;15054-400;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
SANTA HORA;Comida Brasileira;(17)99763-6440;*;;*;*;*;*;4,70;;07.088.864/0001-56;AV. NOSSA SRA. DA PAZ,798;JARDIM ALTO ALEGRE;Central;15054-400;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
SO SUCO CINCO RESTAURANTE;Comida Brasileira;(17)3223-3073;sosucorestaurante;3300,00;*;*;*;*;4,50;;40.749.973/0001-42;AV. NOSSA SRA. DA PAZ, 1180;JARDIM ALTO ALEGRE;Central;15055-500;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
CHURRASCARIA COMITIVA;Comida Brasileira;(17)3218-9791;*;;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/comitiva-do-sul-churrascaria-restaurante-jardim-alto-alegre;*;*;4,60;4,60;33.980.385/0001-50;AV. NOSSA SRA. DA PAZ, 1827;JARDIM ALTO ALEGRE;Central;15055-500;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
MARIA'S RESTAURANTE;Comida Brasileira;(17)3222-1322;restaurante_marias;1900,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/marias-restaurante-vila-nossa-senhora-de-fatima;*;*;4,40;3,80;49.112.135/0001-38;R. INGLATERRA, 921;VILA NOSSA SENHORA DE FATIMA;Central;15015-510;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
PIZZERIA DON VITO CORLEONE II;Pizzarias/Massas;(17)3225-8555;*;;*;*;*;*;;; 44.255.645/0001-40;AVENIDA MEXICO, 235;JARDIM AMÉRICA;Central;15055-340;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
GALOZÉ FRANGO NO BOX;Comida Brasileira;(17)3224-1599;galozebrasil;13000,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/galo-ze---frango-frito-no-box-central-jardim-america;*;*;4,50;4,80;39.631.864/0001-47;AV. MÉXICO, 505;JARDIM AMÉRICA;Central;15055-340;INDIVIDUAL;01/02/5611;;;;;;;;;;;;;;
