Empresas do ramo alimentício de São José do Rio Preto;;;;;;;;;;;;;;;;;;;;;
Nome ;Franquias;Segmento ;Contato;Instagram/Facebook;Número de Seguidores;Ifood;Link Ifood;Outra Plataforma de Delivery;Link da Plataforma ;Avaliação Google;Avaliação Ifood;Quantidade de Avaliações (Google);Quantidade de Avaliações (Ifood);CNPJ;Endereço;Bairro;Região Adm;CEP;Porte;CNAE;
PIZARIA TARANTELLA;;Pizzarias/Massas;(17) 3224-3270;*;;*;*;*;*;4,6;;348;0;53.196.971/0001-36;AV. NOSSA SRA. DA PAZ, 2320;JARDIM ALTO ALEGRE;Central;15054-400;MICRO EMPRESA;02/02/5611;
PIZZARIA DONATELLO;;Pizzarias/Massas;(17) 3364-8864 ;pizzariadonatello.rp;798;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/pizzaria-donatello-2-residencial-anna-angelica/56bfa89a-5514-4bf3-b238-def152e1844b?utm_medium=ReserveGoogle;Plataforma Própria;https://play.google.com/store/apps/details?id=br.com.sagresinformatica.donatello&pli=1;4,7;4,9;12;28;46.331.409/0001-91 ;AV. FORTUNATO ERNESTO VETORASSO, 1800;JARDIM RESIDENCIAL VETORASSO;Cidade da Criança;15040-300;INDIVIDUAL;01/02/5611;
FAMIGLIA ARNONI ;;Pizzarias/Massas;(17) 3201-3434;arnonipizzaria_oficial;13700;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/pizzaria-famiglia-arnoni-jardim-aclimacao;Neemo;https://loja.neemo.com.br/famigliaarnoni;4,7;5;1200;62;36.380.190/0001-67 ;AV. ANÍSIO HADDAD, 7182;JARDIM YOLANDA;Represa;15061-580;MICRO EMPRESA;01/02/5611;
VILLA CALUI;;Pizzarias/Massas;(17) 3232-0220;villacalui;34000;*;*;Plataforma Própria;*;4,5;;471;0;36.361.927/0001-02 ;R. IMPERIAL, 1108- VILA IMPERIAL;VILA NOSSA SENHORA DE FATIMA;Central;15015-520;MICRO EMPRESA;01/02/5611;
MAREMONTI;;Pizzarias/Massas;(17) 3234-9575;maremonti_;62400;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/maremonti-sao-jose-do-rio-preto-iguatemi;"Rappii; Plataforma Propria";rappi.com.br //  maremonti.com.br;4,4;4,4;889;18;19.789.139/0001-94;AV. PRES. JUSCELINO K, 5000;IGUATEMI;HB;15093-340;EMPRESA DE PEQUENO PORTE;01/02/5611;
NONA BENI ;;Pizzarias/Massas;(17) 3519-4100;pizzarianonnabeni;7300;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/nonna-beni-boa-vista;*;*;4,5;4,7;1331;75;04.106.891/0001-16;R. BOA VISTA, 1220- BOA VISTA;BOA VISTA;Central;15025-010;MICRO EMPRESA;01/02/5611;
CULTURA DEL GRANO;;Pizzarias/Massas;(17)  3353-5663 ;culturadelgranobr;14300;*;*;Plataforma Própria;https://play.google.com/store/apps/details?id=com.wabiz.delivery.casagrande;4,4;;882;0;20.799.613./0001-48;R. ANTÔNIO DE GODOY, 4163;VILA REDENTORA;HB;15015-780;MICRO EMPRESA;01/02/5611;
HARUSHI ORIENTAL FOOD;;Comida Étnica (Japão);(17) 3363-5660 ;harushiriopreto;23700;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/harushi-oriental-food-centro/3b840924-b1ec-4f5f-a34f-70c16ac4959e?utm_medium=ReserveGoogle;Goomer;https://harushi-oriental-food.goomer.app/;4,6;;1253;0;22.477.685/0001-82;R. VOLUNTÁRIOS DE SÃO PAULO, 3878;CENTRO;Central;15015-200;MICRO EMPRESA;02/02/5611;
KAMI COMIDA JAPONESA  ;;Comida Étnica (Japão);(17) 98814-5205 ;kamiriopreto;12700;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/kami-restaurante-japones-vila-imperial;Menu Dino;https://yoikami.menudino.com/?rwg_token=ADQ7psSkVLyI3E5gSfp6-xKJ3cWwKqrTz9WkNxfCHnMRsnJPRT8y0fHO2RqpfTCAcviEJ1yLB91EhlHPj536L9ImmnVYj5N8bZWQ1xpKc3DyDKglqDO_Qzg%3D;4,8;4,7;11;6;32.080.413/0001-10;R. IMPERIAL, 1108 - VILA IMPERIAL;VILA NOSSA SENHORA DE FATIMA;Central;15015-520;INDIVIDUAL;01/02/5611;
 SAIKO SUSHI BAR ;;Comida Étnica (Japão);(17) 99184-0587;saiko_sushiba;5400;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/saiko-sushi-bar-jardim-residencial-vetorasso/12f36a12-f351-42a8-9f26-908b3a7c5279?utm_medium=ReserveGoogle;*;*;4;;17;0;45.367.580/0001-98;AV. FORTUNATO ERNESTO VETORASSO, 1792;CECAP;Cidade das Crianças;15041-000;INDIVIDUAL;01/02/5611;
SUSHI AKI;;Comida Étnica (Japão);(17) 98124-5272;sushiakiriopreto;7400;Ativo; ifood.com.br;*;*;4,4;;115;0;46.454.75./0001-01;R. RIO PRETO, 2532;VILA REDENTORA;HB;15015-760;MICRO EMPRESA;02/02/5611;
YUUMEI SUSHI LOUNGUE;;Comida Étnica (Japão);(17) 98142-4370 ;yuumeisushilounge;23800;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/yuumei-sushi-lounge-centro;*;*;4,7;4,5;4358;324;32.611251/0001-25;R. ANTÔNIO DE GODOY, 3945;VILA REDENTORA;HB;15015-100;MICRO EMPRESA;01/02/5611;
SI SENOR;;Comida Étnica (México);(17) 3234-9572;sisenorbrasil;200000;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/si-senor-sao-jose-do-rio-preto-iguatemi;Delivery Direto;https://deliverydireto.com.br/sisenor/saojosedoriopreto?utm_source=google-place-action-link;4,4;4,8;2674;28;10.291.637/0001-00;AV. PRES. JUSCELINO K. DE OLIVEIRA, 5000;IGUATEMI;HB;15093-340;MICRO EMPRESA;01/02/5611;
MANA POKE;;Comida Étnica (Havaí);(17) 3305-6661;mana.poke;68200;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/mana-poke---sao-jose-do-rio-preto-vila-redentora;Delivery Direto;https://deliverydireto.com.br/manapoke/riopreto?utm_source=google-place-action-link;4,7;4,9;433;752;40.975.249/0001-37 ;R. PENITA, 3355- VILA REDENTORA;VILA REDENTORA;HB;15015-820;MICRO EMPRESA;01/02/5611;
MALUHIA POKE BOWLS ;;Comida Étnica (Havaí);(17) 99244-5043;maluhiapoke;8000;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/maluhia-poke-bowls-vila-redentora;*;*;4,8;4,9;172;66;29.495.833/0001-52 ;R. GENEROSA BASTOS, 3103;VILA REDENTORA;HB;15015-790;MICRO EMPRESA;01/02/5611;
FARM GREENS - SALAD FAST FOOD ;;Saudáveis/Veganas/Veget;(17) 99739-0099;farmgreens.br;2900;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/farm-greens-centro;*;*;4,6;5;14;11;39.920.816/0001-79;R. CEL. SPÍNOLA DE CASTRO, 3998;CENTRO;Central;15015-500;MICRO EMPRESA;01/02/5611;
VIVERDI BISTRÔ;;Saudáveis/Veganas/Veget;(17) 98216-7947;viverdibistroorganico;17000;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/viverdi-bistro-organico-vila-redentora;*;*;4,8;4,7;222;3;25.463.150/0001-62;R. GENEROSA BASTOS,3333-VILA REDENTORA;VILA REDENTORA;HB;15015-790;MICRO EMPRESA;01/02/5611;
VEGAN SOUL;;Saudáveis/Veganas/Veget;*;*;;*;*;*;*;;;0;0;44.937.284/0001-12;R. FREI ROQUE BISCIONE, 2195- MIRASSOL ;SAO FRANCISCO DE ASSIS I;Central;15137-054;INDIVIDUAL;1096-1/00;
MINEIRO DELIVERY;;Comida Brasileira;(17) 3234-4431 ;mineirodelivery;49800;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/mineiro-delivery---sao-jose-do-rio-preto-vila-ercilia;*;*;4,3;4,9;10;204;16.634.794/0001-85;R. JOSÉ DE ALENÇAR, 27 - SALA 21;VILA ERCÍLIA;Central;15013-120;MICRO EMPRESA;01/02/5611;
RESTAURANTE SÓ SUCO;;Comida Brasileira;(17) 3223-3073;sosucorestaurante;3400;*;*;*;*;4,5;;2893;0;28.552.309/0001-03;AV. NOSSA SRA. DA PAZ, 1180;CENTRO;Central;15015-200;EMPRESA DE PEQUENO PORTE;01/02/5611;
CHICO BARRIGUDO;;Comida Brasileira;(17) 3304-6405;chicobarrigudo;31200;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/chico-barrigudo-jardim-yolanda;*;*;4,5;4,6;2645;64;24.889.428/0001-03;AV SILVIO DELA ROGÉRIO, 63;JARDIM YOLANDA;Represa;15061-580;MICRO EMPRESA;04/02/5611;
TAMAREIRA FÁBRICA BAR;;Comida Brasileira;(17) 99253-6363;tamareirafabricabar;9900;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/tamareira-fabrica-bar-vila-santa-cruz;*;*;4,6;;162;0;33.414.342/0001-07 ;R. SIQUEIRA CAMPOS, 3619;VILA SANTA CRUZ;Central;15014-030;MICRO EMPRESA;01/02/5611;
REPÚBLICA DO ESPETO;;Comida Brasileira;(17) 98231-4108;repubespeto;846;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/republica-do-espeto-jardim-alto-rio-preto;Rappi;https://rappi.com.br/restaurantes/900022971?utm_source=google&utm_medium=organic&utm_campaign=place-action-link;4,6;4,9;131;84;38.016.105/0001-01;R. TEVE. VIDAL, 405;JARDIM ALTO RIO PRETO;Central;15020-220;INDIVIDUAL;04/01/5620;
FINO SABOR;;Comida Brasileira;(17)3011-5060;*;;*;*;*;*;4,5;;111;0;02.860.643/0001-30;R. PEDRO MARTINS, 90;MINI DISTRITO ADAIL VETORAZZO;Pinheirinho;15046-773;MICRO EMPRESA;01/02/5611;
REI DO PEIXE;;Comida Brasileira;(17)3600-8681;restaurantereidopeixe;2400;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/restaurante-rei-do-peixe-vila-aeroporto;*;*;4,5;4,8;341;94;04.433.474/0001-88;AVENIDA DOS ESTUDANTES,2397;VILA AEROPORTO;Central;15025-310;MICRO EMPRESA;01/02/5611;
TRADIÇÃO RESTAURANTE;;Comida Brasileira;(17)3211-2010;*;;*;*;*;*;4,8;;191;0;24.449.010/0001-77;AV DOS ESTUDANTES 2254;VILA AEROPORTO;Central;15025-310;MICRO EMPRESA;01/02/5611;
KROKS PASTEIS;;Lanchonetes/Hamburguerias;(17)3225-9912;*;;*;*;*;*;;;0;0;11.438.290/0001-76;RUA BENY ROQUETE, 193;JARDIM ALTO ALEGRE;Central;15054-190;MICRO EMPRESA;03/02/5611;
DIVINO GOLE;;Comida Brasileira;(17) 92000-3676;divinogoleriopreto;8500;*;*;*;*;4,1;;185;0;33.888.346/0001-27;R. PEDRO DEMONTE, 136;JARDIM ALTO ALEGRE;Central;15055-240;MICRO EMPRESA;05/02/5611;
EXPRESSINHO RESTAURANTE E CHOPPERIA;;Comida Brasileira;(17)3215-7737;experessinhorestaurante;2900;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/expressinho-restaurante-av-nsa-sra-paz-jardim-alto-alegre;*;*;4,4;4,6;1840;58;26.550.599/0001-20;AVENIDA NOSSA SENHORA DA PAZ, 1300;JARDIM ALTO ALEGRE;Central;15054-400;MICRO EMPRESA;01/02/5611;
DOCE ENCONTRO;;Comida Brasileira;(17)99701-8911;Doce Encontro (Facebook);489;*;*;*;*;4,5;;291;0;19.067.787/0001-37;R. DR. COUTINHO CAVALCANTE, 952;JARDIM ALTO ALEGRE;Central;15054-300;MICRO EMPRESA;01/02/5611;
MARMITARIA PAIOL VILLA SIMÕES;;Comida Brasileira;(17)98801-3434;*;;*;*;*;*;4,4;;29;0;35.502.156/0001-55;AVENIDA NOSSA SENHORA DA PAZ, 390;JARDIM ALTO ALEGRE;Central;15055-500;MICRO EMPRESA;01/02/5611;
RESTAURANTE MANAH;;Outros;(17)4009-7878;*;;*;*;*;*;4,1;;16;0;21.821.102/0001-48;RUA DOUTOR COUTINHO CAVALCANTI, 857;JARDIM ALTO ALEGRE;Central;15054-300;MICRO EMPRESA;01/02/5611;
CRAZY BY AÇAI;;Lanchonetes/Hamburguerias;(17)99768-2491;*;;*;*;Smartpos;https://crazybyacai.smartpos.app/;4,8;;16;0;30.140.190/0001-03;AVENIDA ENGENHEIRO RUI SEIXAS, 1650;VILA AEROPORTO;Central;15025-355;MICRO EMPRESA;03/02/5611;
ESTÂNCIA SABORES;;Lanchonetes/Hamburguerias;(17) 98806-7811;Estância Sabores (Facebook);579;*;*;*;*;4,7;;95;0;25.149.256/0001-96;RUA DOUTOR COUTINHO CAVALCANTI, 836;JARDIM ALTO ALEGRE;Central;15054-300;MICRO EMPRESA;01/02/5611;
ESKINA DO SALGADO;;Lanchonetes/Hamburguerias;(17)99161-7603;eskinadosalgado;200;*;*;*;*;5;;114;0;24.266.331/0001-36;AV. NOSSA SRA. DA PAZ, 668;JARDIM ALTO ALEGRE;Central;15054-400;MICRO EMPRESA;03/02/5611;
GREGO NO PÃO;;Lanchonetes/Hamburguerias;(17)98173-1458;gregonopaorp;16900;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/grego-no-pao-jardim-alto-alegre?utm_medium=ReserveGoogle;Menu Dino;https://gregonopaorp.menudino.com/?rwg_token=ADQ7psSaEYVn4a4u9D4wGAeGM-OG1b28XH4EzxvbG3GwMCKRuhdfHOM6m2bOubI7BT9Cy6R31ANN5A1rTlGh2ChchB4mW0knWdJ04UTUUOglxBK8nE5Y6_A%3D;4,4;4,8;119;37;48.432.788/0001-31;AV. NOSSA SRA. DA PAZ, 2406;VILA MACENO;Central;15055-500;MICRO EMPRESA;03/02/5611;
BERNARDINO'S LANCHES MACENO;;Lanchonetes/Hamburguerias;(17)98230-6177;benardinoslanches;19800;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/bernardinos-lanches-centro;Menu Dino;https://bernardinoslanchesmaceno.menudino.com/?rwg_token=ADQ7psR_9C1iMnHGsEwfbLrQP_GnOp2HssA4l38I_-iBwV_qF-sQo8JXbuUThemDhGIhjxSdSHV1cdWd7Z-b50C5JlG05tzpXCJGE4SHfDOmBbhbgWW7TN0%3D;4,5;4,7;378;143;24.966.108/0001-00;AV. NOSSA SRA. DA PAZ, 2406;JARDIM PAULISTA;Central;15055-500;MICRO EMPRESA;03/02/5611;
TAPIOCAS BAIANAS;;Lanchonetes/Hamburguerias;(17)3215-1946;Tapioca Baiana (Facebook);1500;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/tapiocas-baiana-jardim-alto-alegre;*;*;4,9;4,9;78;6;17.290.218/0001-20;AV. NOSSA SRA. DA PAZ, 2132;JARDIM ALTO ALEGRE;Central;15055-500;MICRO EMPRESA;03/02/5611;
JUBERNAL SALGADERIA;;Lanchonetes/Hamburguerias;(17)9792-6182;jubernal_salgados;566;*;*;*;*;;;0;0;44.492.284/0001-56;RUA DOUTOR COUTINHO CAVALCANTI, 765;JARDIM ALTO ALEGRE;Central;15054-300;INDIVIDUAL;03/02/5611;
TIA JACK LANCHONETE;;Lanchonetes/Hamburguerias;(17)3221-9340;Tia Jack Lanchonete(Facebook);458;*;*;*;*;4,8;;12;0;27.663.803/0001-82;R. DR. COUTINHO CAVALCANTE, 740;JARDIM VIEIRA;Central;15055-300;INDIVIDUAL;03/02/5611;
ANDORINHA LANCHES;;Lanchonetes/Hamburguerias;(17)99128-5020;andorinhalanches;362;*;*;Goomer;https://andorinha-lanches.goomer.app/;4,8;;88;0;12.953.677/0001-23;RUA JESUS MARIA TELES, 476;RESIDENCIAL ALTO DAS ANDORINHAS;Pinheirinho;15046-226;INDIVIDUAL;03/02/5611;
CAMAROTE DO GÊ;;Comida Brasileira;(17)99206-8773;camarotedoge;4700;*;*;*;*;4,7;;395;0;14.471.794/0001-86;R. REV. VIDAL, 650;JARDIM ALTO RIO PRETO;Central;15020-220;MICRO EMPRESA;01/02/5611;
SANTA HORA;;Comida Brasileira;(17)99763-6440;*;;*;*;*;*;4,7;;4;0;07.088.864/0001-56;AV. NOSSA SRA. DA PAZ,798;JARDIM ALTO ALEGRE;Central;15054-400;MICRO EMPRESA;01/02/5611;
SO SUCO CINCO RESTAURANTE;;Comida Brasileira;(17)3223-3073;sosucorestaurante;3300;*;*;*;*;4,5;;2893;0;40.749.973/0001-42;AV. NOSSA SRA. DA PAZ, 1180;JARDIM ALTO ALEGRE;Central;15055-500;MICRO EMPRESA;01/02/5611;
CHURRASCARIA COMITIVA;;Comida Brasileira;(17)3218-9791;*;;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/comitiva-do-sul-churrascaria-restaurante-jardim-alto-alegre;*;*;4,6;4,6;175;43;33.980.385/0001-50;AV. NOSSA SRA. DA PAZ, 1827;JARDIM ALTO ALEGRE;Central;15055-500;MICRO EMPRESA;01/02/5611;
MARIA'S RESTAURANTE;;Comida Brasileira;(17)3222-1322;restaurante_marias;1900;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/marias-restaurante-vila-nossa-senhora-de-fatima;*;*;4,4;3,8;640;4;49.112.135/0001-38;R. INGLATERRA, 921;VILA NOSSA SENHORA DE FATIMA;Central;15015-510;MICRO EMPRESA;01/02/5611;
PIZZERIA DON VITO CORLEONE II;;Pizzarias/Massas;(17)3225-8555;*;;*;*;*;*;;;0;0; 44.255.645/0001-40;AVENIDA MEXICO, 235;JARDIM AMÉRICA;Central;15055-340;MICRO EMPRESA;01/02/5611;
GALOZÉ FRANGO NO BOX;;Comida Brasileira;(17)3224-1599;galozebrasil;13000;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/galo-ze---frango-frito-no-box-central-jardim-america;*;*;4,5;4,8;45;9;39.631.864/0001-47;AV. MÉXICO, 505;JARDIM AMÉRICA;Central;15055-340;INDIVIDUAL;01/02/5611;
BARBUDO(ROTA 66);;Comida Brasileira;(17)3237-6613;*;;*;*;*;*;4,7;;77;0;30.611.383/0001-03;AV. MIRASSOLÂNDIA, 1426;CONJUNTO HABITACIONAL COSTA DO SOL;Cidade da Criança;15047-000;INDIVIDUAL;01/02/5611;
VARANDA VERDE;;Saudáveis/Veganas/Veget;(17)99607-3120;varandaverdecafe;9300;*;*;*;*;4,6;;83;0;27.067.766/0001-40;AV. DA LUZ, 800;JARDIM ALTO RIO PRETO;Central;15020-360;MICRO EMPRESA;03/02/5611;
SPEED GULA HAMBURGUERIA;;Lanchonetes/Hamburguerias;(17)99645-0282;*;;*;*;*;*;4,9;;11;0;34.749.230/0001-70;R. IPIRANGA, 3001;SANTOS DUMONT;Central;15020-040;INDIVIDUAL;03/02/5611;
REPLAY BURGER;;Lanchonetes/Hamburguerias;(17)99139-4264;replayburger_rp;4000;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/replay-burger-jardim-alto-rio-preto;Goomer;https://replay-burger-rp.goomer.app/;5;4,8;3;5;42.448.066/0001-99;R. LÁZARO CAMARGO ENKE, 2291;SANTOS DUMONT;Central;15020-080;INDIVIDUAL;03/02/5611;
BLACK RIVER;;Lanchonetes/Hamburguerias;(17)99132-8587;black.riverdelivery;9400;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/black-river-delivery-jardim-alto-alegre;*;*;4,6;4,5;152;122;46.901.291/0001-90;AV. NOSSA SRA. DA PAZ, 1828;JARDIM ALTO ALEGRE;Central;15055-500;INDIVIDUAL;03/02/5611;
DO PONTO LANCHES E PASTÉIS;;Lanchonetes/Hamburguerias;(17)99204-1182;*;;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/do-ponto-lanches-e-pasteis-loteamento-parque-residencial-da-amizade;*;*;4,8;;20;0;23.472.142/0001-57;RUA PROFESSORA LENIRA GALVAO FACIO, 385;PARQUE RESIDENCIAL DA AMIZADE;Talhado;15054-664;INDIVIDUAL;03/02/5611;
SCHMITT BURGUER;;Lanchonetes/Hamburguerias;(17)99198-4144;shmitt_burguer;1900;*;*;Grandchef;https://l.instagram.com/?u=https%3A%2F%2Fschmittburguer1.grandchef.com.br%2F&e=AT3HjEGriQFYwvshyboNWMnp7L1BFeGz_sZip0OmM35Ckll0DnTuvnBP-AX0QHUTOgy1A4lP-1glgYblm4BVC6GpRSIRiSiwdcjyrQ;4,7;;243;0;33.230.936/0001-68;R. FLEURY GOUVEIA, 580;PARQUE DAS AMORAS II;Engenheiro Schmit;15062-599;INDIVIDUAL;03/02/5611;
MAURA LANCHES;;Lanchonetes/Hamburguerias;(17)3033-4263;Ativo (Fcebook);205;*;*;*;*;4,6;;15;0;22.551.107/0001-60;RUA JOSE BONIFACIO, 837;JARDIM ANALICE;Central;15070-400;INDIVIDUAL;03/02/5611;
ESPETINHO E CIA;;Comida Brasileira;(17)9110-7049;*;;*;*;*;*;5;;10;0;34.101.580/0001-25;AVENIDA PHILADELPHO MANOEL GOUVEIA NETTO, 1495;VILA ANCHIETA;Central;15050-006;MICRO EMPRESA;03/02/5611;
SALGADON;;Lanchonetes/Hamburguerias;(17) 3221-7400;*;;*;*;*;*;4,9;;20;0;08.057.908/0001-43;R. CRISTÓVÃO COLOMBO, 535;VILA MACENO;Central;15055-343;INDIVIDUAL;03/02/5611;
ESPETARIA DO RATINHO;;Comida Brasileira;(17)99108-2563;espetariadoratinho;983;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/espetaria-do-ratinho---jardim-arroyo;Menu Dino;https://espetariadoratinho.menudino.com/?rwg_token=ADQ7psQgcAdh91hnHHdjYHEWwTHKQ5T12aKJnFdz-ajqKlC88gdR3ju4xn0mUKIWllPvOmi1cOLUOw9VFcal4LNjqRVGkFo5SRTwwCxqe6cVfT74Jp-8Jpg%3D;4,7;5;325;13;20.348.747/0001-42;RUA CARMEM MARTINS ARROYO DE OLIVEIRA, 820;JARDIM ARROYO;CEU;15047-264;INDIVIDUAL;03/02/5611;
JUNINHO BURGUER;;Lanchonetes/Hamburguerias;(17)8815-3171;*;;*;*;*;*;;;0;0;30.161.576/0001-00;AVENIDA IZABEL MARTINS ARROYO, 780;JARDIM ARROYO;CEU;15047-250;INDIVIDUAL;03/02/5611;
MARANHAO ESPETOS E LANCHES;;Outros;(17)9224-1651;*;;*;*;*;*;;;0;0;20.123.609/0001-65;RUA CONCEICAO DA SILVA ALVES, 1916;RESIDENCIAL ARY ATTAB II;Cidade da Criança;15042-028;INDIVIDUAL;03/02/5611;
FANNY RESTAURANTE E PETISCARIA;;Comida Brasileira;(17)99719-8972;*;;*;*;*;*;4,5;;38;0;46.743.104/0001-97;AVENIDA FORTUNATO ERNESTO VETORAZZO, 1392;JARDIM RESIDENCIAL ATLANTICA;Cidade da Criança;15041-000;MICRO EMPRESA;03/02/5611;
